Mn,Ni,Mg,Ca,Fe,La,Y,In,J.uAcm2_0.80_fromCV,J.uAcm2_0.63_secondCA,J.uAcm2_0.63_initialCA
0.2,0,0.5,0,0.1,0.2,0,0,749.041,2358.342857,2343.809524
0,0.2,0,0.5,0.1,0,0.2,0,428.3185,2358.042857,
0,0.3,0.1,0.4,0,0.2,0,0,699.8422,2355.414286,597.3004762
0.7,0,0,0,0.2,0.1,0,0,814.693,2349.657143,2822.852381
0.1,0,0,0,0.5,0.4,0,0,326.75705,2346.583333,592.2571429
0,0.3,0.2,0,0.3,0.2,0,0,773.849,2344.82381,979.2633333
0.4,0,0,0,0.3,0,0.3,0,494.5455,2344.471429,2017.747619
0.1,0.1,0,0.5,0.3,0,0,0,679.4345,2342.895238,1280.433095
0,0.2,0,0.5,0.2,0.1,0,0,830.5135,2342.857143,941.2571429
0.3,0.5,0.1,0,0.1,0,0,0,908.0095,2342.159524,2208.6
0.5,0.4,0,0.1,0,0,0,0,565.9222285,2339.747619,1484.047619
0.1,0,0.1,0.4,0,0.4,0,0,,2339.561905,139.2042857
0.4,0,0,0,0.4,0,0.2,0,685.1855,2338.247619,1740.469048
0,0.5,0.1,0.2,0,0,0.2,0,731.04223,2337.933333,765.9304762
0.4,0,0.1,0,0.3,0,0.2,0,896.4465,2332.142857,2193.752381
0.2,0.2,0,0.5,0,0.1,0,0,967.969775,2321.722143,1218.135238
0.7,0,0,0.2,0.1,0,0,0,856.18935,2320.114286,3736.32381
0.1,0,0,0.1,0.7,0,0.1,0,,2319.82381,2002.004762
0.3,0,0.1,0.5,0,0.1,0,0,422.939525,2316,944.8014286
0.3,0,0,0.2,0.4,0,0.1,0,584.7275,2312.690476,1527.780952
0.5,0,0,0,0.1,0,0.4,0,270.2545,2312.02619,830.1680952
0.5,0,0,0.2,0.1,0.2,0,0,672.9396,2310.914286,3342.690476
0.6,0.2,0.1,0,0,0.1,0,0,1027.643,2309.971429,2639.490476
0.5,0,0,0.1,0.2,0,0,0.2,450.4328,2305.042857,
0.4,0.4,0.2,0,0,0,0,0,581.175,2302.778571,1847.352381
0.3,0,0,0.7,0,0,0,0,764.7915,2302.147619,2246.033333
0.4,0,0,0.2,0.2,0,0.2,0,588.8932,2300.395238,
0.4,0.1,0.4,0.1,0,0,0,0,691.6575,2298.792857,2200.783333
0.5,0,0,0.3,0,0,0.2,0,452.343525,2297.852381,1577.457143
0.6,0.1,0.2,0.1,0,0,0,0,689.8095,2292,2975.780952
0.5,0,0.1,0.1,0.3,0,0,0,706.66125,2291.895238,3023.519048
0,0.4,0,0.3,0.1,0,0.2,0,893.078338,2284.652381,1312.080952
0.6,0.2,0,0.1,0,0.1,0,0,1085.5875,2280.599048,1357.690476
0.4,0,0.1,0.4,0,0.1,0,0,840.555,2279.504762,2478.247619
